Cluster_code,URBAN_RURAC254,fidN200_A,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated
TZ075,R,45916,6.00,8.00,6.00,0.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ076,R,45917,1.00,6.00,13.00,2.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ077,R,45918,11.00,6.00,5.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ078,R,45919,3.00,7.00,6.00,5.00,1.00,22.00,3.00,3.00,3.00,4.00
TZ079,R,45920,2.00,6.00,7.00,5.00,2.00,22.00,3.00,4.00,3.00,4.00
TZ080,U,45921,0.00,0.00,4.00,10.00,8.00,22.00,4.00,2.00,4.00,2.00
TZ081,U,45922,0.00,0.00,0.00,7.00,14.00,21.00,5.00,3.00,5.00,3.00
TZ082,R,45923,1.00,5.00,6.00,5.00,3.00,20.00,3.00,4.00,3.00,4.00
TZ083,R,45924,4.00,5.00,6.00,5.00,0.00,20.00,3.00,3.00,3.00,3.00
TZ084,U,45925,11.00,1.00,5.00,3.00,0.00,20.00,2.00,1.00,1.00,1.00
